"DateAndTime","OS_Rm253 (Bloomberg-2 East-Study 253) Occupancy","",
"2016-10-05 22:08:14","1","",
"2016-10-05 22:09:22","1","",
"2016-10-05 22:10:33","1","",
"2016-10-05 22:12:59","1","",
"2016-10-05 22:14:09","1","",
"2016-10-05 22:15:17","1","",
"2016-10-05 22:16:25","1","",
"2016-10-05 22:17:47","1","",
"2016-10-05 22:18:56","1","",
"2016-10-05 22:20:04","1","",
"2016-10-05 22:21:13","1","",
"2016-10-05 22:22:21","1","",
"2016-10-05 22:23:30","1","",
"2016-10-05 22:24:38","1","",
"2016-10-05 22:25:47","1","",
"2016-10-05 22:26:56","1","",
"2016-10-05 22:28:03","1","",
"2016-10-05 22:29:21","1","",
"2016-10-05 22:30:36","1","",
"2016-10-05 22:32:21","1","",
"2016-10-05 22:33:28","1","",
"2016-10-05 22:34:36","1","",
"2016-10-05 22:35:56","1","",
"2016-10-05 22:37:03","1","",
"2016-10-05 22:38:11","1","",
"2016-10-05 22:39:19","1","",
"2016-10-05 22:40:27","1","",
"2016-10-05 22:41:38","1","",
"2016-10-05 22:42:50","1","",
"2016-10-05 22:43:58","1","",
"2016-10-05 22:45:11","1","",
"2016-10-05 22:46:24","1","",
"2016-10-05 22:47:51","1","",
"2016-10-05 22:49:05","1","",
"2016-10-05 22:50:16","1","",
"2016-10-05 22:51:39","1","",
"2016-10-05 22:52:47","1","",
"2016-10-05 22:53:55","1","",
"2016-10-05 22:55:11","1","",
"2016-10-05 22:56:18","1","",
"2016-10-05 22:57:29","1","",
"2016-10-05 22:58:37","1","",
"2016-10-05 22:59:46","1","",
"2016-10-05 23:00:53","1","",
"2016-10-05 23:02:01","1","",
"2016-10-05 23:03:08","1","",
"2016-10-05 23:04:19","1","",
"2016-10-05 23:05:27","1","",
"2016-10-05 23:06:36","1","",
"2016-10-05 23:07:50","1","",
"2016-10-05 23:09:04","1","",
"2016-10-05 23:10:15","1","",
"2016-10-05 23:11:32","1","",
"2016-10-05 23:12:40","1","",
"2016-10-05 23:13:48","1","",
"2016-10-05 23:15:02","1","",
"2016-10-05 23:16:14","1","",
"2016-10-05 23:17:27","1","",
"2016-10-05 23:18:35","1","",
"2016-10-05 23:19:42","1","",
"2016-10-05 23:21:00","1","",
"2016-10-05 23:22:07","1","",
"2016-10-05 23:23:22","1","",
"2016-10-05 23:24:35","1","",
"2016-10-05 23:25:43","1","",
"2016-10-05 23:26:56","1","",
"2016-10-05 23:28:22","1","",
"2016-10-05 23:29:39","1","",
"2016-10-05 23:30:47","1","",
"2016-10-05 23:31:55","1","",
"2016-10-05 23:33:02","1","",
"2016-10-05 23:34:10","1","",
"2016-10-05 23:35:28","1","",
"2016-10-05 23:37:34","1","",
"2016-10-05 23:38:56","1","",
"2016-10-05 23:40:07","1","",
"2016-10-05 23:41:14","1","",
"2016-10-05 23:42:25","1","",
"2016-10-05 23:43:41","1","",
"2016-10-05 23:44:54","1","",
"2016-10-05 23:46:31","1","",
"2016-10-05 23:47:44","1","",
"2016-10-05 23:49:03","1","",
"2016-10-05 23:50:35","1","",
"2016-10-05 23:52:18","1","",
"2016-10-05 23:53:38","1","",
"2016-10-05 23:54:49","1","",
"2016-10-05 23:55:57","1","",
"2016-10-05 23:57:25","1","",
"2016-10-05 23:58:39","1","",
