"DateAndTime","OS_Hall121 (Bloomberg-1 West-Hall 121) Occupancy","",
"2016-08-30 12:20:57","0","",
"2016-08-30 12:31:28","0","",
"2016-08-30 12:41:58","0","",
"2016-08-30 12:52:29","0","",
"2016-08-30 13:02:59","0","",
"2016-08-30 13:10:51","1","",
"2016-08-30 13:12:45","0","",
"2016-08-30 13:14:12","1","",
"2016-08-30 13:15:11","1","",
"2016-08-30 13:17:06","0","",
"2016-08-30 13:27:36","0","",
"2016-08-30 13:38:07","0","",
"2016-08-30 13:48:38","0","",
"2016-08-30 13:59:08","0","",
"2016-08-30 14:09:38","0","",
"2016-08-30 14:20:09","0","",
"2016-08-30 14:30:39","0","",
"2016-08-30 14:41:10","0","",
"2016-08-30 14:51:41","0","",
"2016-08-30 15:02:11","0","",
"2016-08-30 15:12:42","0","",
"2016-08-30 15:23:12","0","",
"2016-08-30 15:33:43","0","",
"2016-08-30 15:44:13","0","",
"2016-08-30 15:54:44","0","",
"2016-08-30 16:05:15","0","",
"2016-08-30 16:15:46","0","",
"2016-08-30 16:26:16","0","",
"2016-08-30 16:36:47","0","",
"2016-08-30 16:47:17","0","",
"2016-08-30 16:57:48","0","",
"2016-08-30 17:08:19","0","",
"2016-08-30 17:18:50","0","",
"2016-08-30 17:29:21","0","",
"2016-08-30 17:39:51","0","",
"2016-08-30 17:50:22","0","",
"2016-08-30 18:00:53","0","",
"2016-08-30 18:11:23","0","",
"2016-08-30 18:21:53","0","",
"2016-08-30 18:32:23","0","",
"2016-08-30 18:42:53","0","",
"2016-08-30 18:53:23","0","",
"2016-08-30 19:03:52","0","",
"2016-08-30 19:14:22","0","",
"2016-08-30 19:24:52","0","",
"2016-08-30 19:35:22","0","",
"2016-08-30 19:45:52","0","",
"2016-08-30 19:53:24","1","",
"2016-08-30 19:55:18","0","",
"2016-08-30 20:05:48","0","",
"2016-08-30 20:16:18","0","",
"2016-08-30 20:26:48","0","",
"2016-08-30 20:37:18","0","",
"2016-08-30 20:47:48","0","",
"2016-08-30 20:58:19","0","",
"2016-08-30 21:08:48","0","",
"2016-08-30 21:19:19","0","",
"2016-08-30 21:29:49","0","",
"2016-08-30 21:40:20","0","",
"2016-08-30 21:50:50","0","",
"2016-08-30 22:01:20","0","",
"2016-08-30 22:11:50","0","",
"2016-08-30 22:22:20","0","",
"2016-08-30 22:32:50","0","",
"2016-08-30 22:43:20","0","",
"2016-08-30 22:53:51","0","",
"2016-08-30 23:04:22","0","",
"2016-08-30 23:14:53","0","",
"2016-08-30 23:25:23","0","",
"2016-08-30 23:35:54","0","",
"2016-08-30 23:46:24","0","",
"2016-08-30 23:56:55","0","",
"2016-08-31 00:07:25","0","",
"2016-08-31 00:17:55","0","",
"2016-08-31 00:28:26","0","",
"2016-08-31 00:38:56","0","",
"2016-08-31 00:49:27","0","",
"2016-08-31 00:59:57","0","",
"2016-08-31 01:10:27","0","",
"2016-08-31 01:20:58","0","",
"2016-08-31 01:31:28","0","",
"2016-08-31 01:41:59","0","",
"2016-08-31 01:52:29","0","",
